"Keyword","Category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"ender 3 v2","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"ipad pro 2018","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"nuoc hoa nam","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"laptop giá rẻ","Máy tính & Laptop","Computer & Laptop","Computer & Laptop","Computer & Laptop"
"búp bê nga","Mẹ & Bé","Toys","Toys",
"lego iron man","Mẹ & Bé","Toys","Toys","Toys"
"gà rán","Chăm sóc thú cưng","Grocery","Grocery","Grocery"
"lót ly","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"balance vitamin c","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"balo bỉm sữa đa năng","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies",
"quần nỉ nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"hộp bút cute","Nhà Sách Online","Books","Books","Books"
"yame","Thời Trang Nữ","Bags","Bags",
"máy hàn ống nhiệt","Bách Hoá Online","Home & Living","Home & Living","Home & Living"
"tất nam","Thời Trang Nam","Fashion Accessories","Fashion Accessories","Men Clothes"
"đồ ăn vặt dumbum","Bách Hóa Online","Grocery","Grocery",
"đồ ăn vặt dumbum","Bách Hóa Online","Grocery","Grocery",
"sổ tay","Nhà Sách Online","Books","Books","Books"
"đầm nữ","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"honda vision 2021","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"cần câu cá","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"160store","Thời Trang Nam","Men Clothes","Men Clothes",
"160store","Thời Trang Nam","Men Clothes","Men Clothes",
"cờ","Đồ Chơi","Toys","Toys","Toys"
"bánh trứng","Bách Hóa Online","Grocery","Grocery","Grocery"
"led dây 12v","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"chân váy tennis","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"bandana","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"máy may bao cầm tay","Thiết Bị Điện Gia Dụng","Home & Living","Home Appliances",
"tai nghe","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"leika","Thời Trang Nữ","Women Clothes","Women Clothes",
"leika","Thời Trang Nữ","Women Clothes","Women Clothes",
"kính viễn vọng","Thể Thao & Du Lịch","Cameras","Toys",
"màn hình j7 prime","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"găng tay chống nắng","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"găng tay chống nắng","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"găng tay chống nắng","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"găng tay chống nắng","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"dd","Thời Trang Nam","Home & Living","Women Clothes",
"balo nữ đi học","Túi Ví","Bags","Bags","Bags"
"lightstick blackpink ver 2","Nhà Sách Online","Books","Toys",
"store","Others","Home & Living","Women Clothes",
"thuốc kích dục nữ","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"tay nâng blum","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"mèo cute","Đồ Chơi","Books","Home & Living",
"y3","Others","Men Shoes","Men Shoes",
"case máy tính","Máy tính & Laptop","Computer & Laptop","Computer & Laptop","Computer & Laptop"
"capo","Nhà Sách Online","Books","Books","Books"
"ống hút","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"bộ bàn ăn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"kệ trưng bày","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"dép cros","Giày Dép Nữ","Women Shoes","Women Shoes","Men Clothes"
"dép cros","Giày Dép Nữ","Women Shoes","Women Shoes","Men Clothes"
"den led","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"cảm biến chuyển động","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"giày chống nước","Giày Dép Nam","Men Shoes","Men Shoes",
"giày chống nước","Giày Dép Nam","Men Shoes","Men Shoes",
"màn hình iphone 6","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"ps5","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"máy chà gót chân","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"motor rung","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"motor rung","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"bu","Thời Trang Trẻ Em","Kid's Fashion","Kid's Fashion","Kid's Fashion"
"son dưỡng astrid","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"quần vải ống rộng","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"dizigone","Others","Health & Beauty","Health & Beauty","Health & Beauty"
