Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
ender 3 v2,ender 3 v2,Máy tính & Laptop,Computer & Laptop,Computer & Laptop,
ipad pro 2018,ipad pro 2018,Điện Thoại & Phụ Kiện,Mobile & Accessories,Mobile & Accessories,
nuoc hoa nam,men's perfume,Sức Khỏe & Sắc Đẹp,Health & Beauty,Health & Beauty,Health & Beauty
laptop giá rẻ,cheap laptop,Máy tính & Laptop,Computer & Laptop,Computer & Laptop,Computer & Laptop
búp bê nga,Russian doll,Mẹ & Bé,Toys,Toys,
lego iron man,lego iron man,Mẹ & Bé,Toys,Toys,Toys
gà rán,fried chicken,Chăm sóc thú cưng,Grocery,Grocery,Grocery
lót ly,coaster,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
balance vitamin c,balance vitamin c,Sức Khỏe & Sắc Đẹp,Health & Beauty,Health & Beauty,Health & Beauty
balo bỉm sữa đa năng,multi-purpose diaper bag,Mẹ & Bé,"Moms, Kids & Babies","Moms, Kids & Babies",
quần nỉ nam,men's sweatpants,Thời Trang Nam,Men Clothes,Men Clothes,Men Clothes
hộp bút cute,cute pencil box,Nhà Sách Online,Books,Books,Books
yame,Yame,Thời Trang Nữ,Bags,Bags,
máy hàn ống nhiệt,Heat pipe welding machine,Bách Hoá Online,Home & Living,Home & Living,Home & Living
tất nam,men's socks,Thời Trang Nam,Fashion Accessories,Fashion Accessories,Men Clothes
đồ ăn vặt dumbum,dumbum snack,Bách Hóa Online,Grocery,Grocery,
sổ tay,notebook,Nhà Sách Online,Books,Books,Books
đầm nữ,women's dress,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
honda vision 2021,honda vision 2021,Ô tô - xe máy - xe đạp,Automotive,Automotive,
cần câu cá,fishing rod,Thể Thao & Du Lịch,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
160store,160store,Thời Trang Nam,Men Clothes,Men Clothes,
cờ,flag,Đồ Chơi,Toys,Toys,Toys
bánh trứng,egg tart,Bách Hóa Online,Grocery,Grocery,Grocery
led dây 12v,12v led strip,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
chân váy tennis,tennis skirt,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
bandana,Bandana,Phụ Kiện Thời Trang,Fashion Accessories,Fashion Accessories,Fashion Accessories
máy may bao cầm tay,portable bag sewing machine,Thiết Bị Điện Gia Dụng,Home & Living,Home Appliances,
tai nghe,earphone,Thiết Bị Điện Tử,Consumer Electronics,Consumer Electronics,Consumer Electronics
leika,leika,Thời Trang Nữ,Women Clothes,Women Clothes,
