index,title,content
902178,￥6750,产品系列:华硕 N43系列屏幕尺寸:14英寸CPU型号:Intel 酷睿i7 2630QMCPU主频:2000MHz内存容量:4GB硬盘容量:500GB显卡芯片:NVIDIA GeForce GT 550M操作系统:Windows 7 Ho 更多参数>>
950193,"白银技术分析:巩固反弹基础,伺机冲击21日均线","现货白银周一(7月2日)收出小阳十字星,上方最高触及27.61,下方最低下探27.19。形态上看,现货白银强势反弹回抽21日均线,但收盘回落。前文中我们已经建议上周空单在周末前结利出场,目前看来,现货白银周五长阳有效缓解了下行压力,但上方受到21日均线压制,近期或许需要稳固反弹基础,才能有效上探均线阻力。技术指标上看,MACD和随机指标有反弹迹象;布林通道中,现货黄金继续在中轨和下轨之间徘徊;均线系统看跌。周二(7月3日)亚市早盘,现货白银以小阴线盘整,上方阻力位于27.94,下方支撑在26.12。操作上建议,短线高抛低吸为主。长期趋势:看涨短期趋势:修正回落"
886364,上合峰会明举行将定十年规划 各国领导陆续抵京,"新京报讯 (记者储信艳)上海合作组织成员国元首理事会第十二次会议(北京峰会)将于6日至7日在北京举行。参会的各国领导人从昨日起开始陆续抵京。塔吉克斯坦总统率先抵京塔吉克斯坦总统拉赫蒙4日抵京,为第一个抵京的外国首脑。随后,上合组织其他成员国元首,吉尔吉斯斯坦总统阿坦巴耶夫、俄罗斯总统普京、哈萨克斯坦总统纳扎尔巴耶夫、乌兹别克斯坦总统卡里莫夫,以及伊朗总统内贾德、巴基斯坦总统扎尔达里、阿富汗总统卡尔扎伊和土库曼斯坦总统别尔德穆哈梅多夫将抵京,出席本次峰会。俄罗斯总统普京将于5日至7日对中国进行其就任总统后的首次访问,并参加上合峰会。据俄罗斯媒体报道,届时俄中将计划签署能源、工业及创新领域的一系列文件。俄总统助理尤里·乌沙科夫称:“访问期间将签署17份不同种类的文件。两国各部委之间也将签署文件。双方企业之间将签署一系列协议。”他并未指出具体将签署哪些文件。中伊或将谈及伊朗核问题此前,外交部副部长程国平在外交部“蓝厅论坛”上指出,今年是上合组织进入第二个10年的开局之年。自去年中方接任上合组织轮值主席国一年来,各方积极落实成员国领导人共识,在“睦邻友好年”框架下就深化各领域合作推出一系列新举措,确立了构建和谐地区的目标,制订了未来10年的战略规划。在4日的外交部例行记者会上,当被问到“伊朗总统内贾德在华期间,俄罗斯总统普京将与其会谈并讨论伊核问题。中国领导人是否也将与内贾德总统讨论该问题”时,外交部发言人刘为民表示,相信双方会就中伊双边关系及共同关心的国际和地区问题交换看法。如果双方谈及伊朗核问题也不会令人诧异。专家分析上合组织发展得很好,一定会有美好的前途,和我们原来设计的发展方向是一致的。成员国之间对某一个问题有不同角度,这很正常。但经过磋商和讨论,经过磨合,就能寻找到共同利益。——上合组织首任秘书长、现任中国中亚友好协会会长张德广国际上有人很不喜欢中俄越走越近和上合组织发展,在中俄关系和上合组织问题上做文章。比较多的是说中俄争夺上合组织的领导权。上合组织没有主导权,成员国完全平等协商,没有主导权何谈争夺?——外交部前副部长、前驻俄罗斯大使刘古昌"
951466,奥巴马雨中演讲 无人打伞,"奥巴马7月14日来到弗吉尼亚州府里士满附近一个小镇上发表演讲时遭遇暴雨,但始终无人为他撑伞。奥巴马当天向镇上900多名市民发表了批评共和党竞选对手罗姆尼的演说。批评的言论不足为奇。令人称奇的是天气突变,很快变成瓢泼大雨。奥巴马全身湿透,但竞选演讲丝毫不受影响。"
1052602,战神归来 热血沸腾R35优惠热销!,"战神归来 热血沸腾R35优惠热销!车型介绍GT-R 一代 传奇的诞生第一代 GTR1969 年至 1972 年间创下 50 场不败记录,因此成为性能车迷心目中的战神。车型编号 PGC10 & KPGC10 (双门版本)最大马力 160 匹最大扭力 180N.m驱动系统 FRGT-R二代 生不逢时第二代 GTR 外型采用以往的造型,前后四圆灯设计,但由于车体大幅增大,而动力单元基本没变。造成马力重量比数值的不佳,而这也成为其在赛道上失利的主要原因。加之石油危机,性能车种需求量下滑,因此而停产。车型编号 KPGC110驱动系统 FRGT-R三代 山道之王GTR BNR32 继承了日产著名赛车系列 SKYLINE 血统,配合最新技术,夺得 "" 无敌战神 "" 及""公路之王 "" 的美誉,因此 R32 是GT-R 系列车中性能取向最纯粹的版本。头文字 D 中中里毅便是驾驶车型编号 BNR32引擎 RB26DETT 2568cc twinturbo最大马力 280 匹(日本马力上限)最大扭矩 360N.m驱动系统 4WD车重( kg): 1430GT-R32 的动力搭配令当时可以说无人能敌,也因此在赛道重新回到了王者地位。如在日本 29 场连胜。 43934 的销售量对于一款纯粹性能趋向的日系跑车而言确实是不错的表现,三代也是 GT-R 系列车型中卖得最多的一代车型。GT-R 四代 一大败笔GTR BCNR33 车型编号 BCNR33引擎 RB26DETT 2568cc twinturbo最大马力 280 匹(日本马力上限)驱动系统 4WD车重( kg): 1550R33 GT-R 在各方面都有所进步,但在整体战斗力方面,其实并不如上代 R32 GT-R 来的优秀。较为有说服力的说法是四代 GT-R 出于市场销售的表现而作了妥协与折中。GT-R 五代 昨日辉煌GTR BNR34 车型编号 BNR34引擎 RB26DETT 2568cc twinturbo最大马力 280 匹(日本马力上限)驱动系统 4WD车重( kg): 1550GT-R 六代 战神归来排气量( c.c.) 3,799压缩比 9.0最大马力( hp/rpm) 480/6400最大扭力( kgm/rpm) 60.0/3200~5200驱动方式 AWD排档型式 序列式六速自手排长宽高( mm) 4650*1895*1370车重( kg) 1740油箱容量( l) 74引擎型号: VR38DETT最大马力(匹): 485 (官方公布数据)GTR35 Switzer P800引擎形式 V6排气量( c.c.) 3,799压缩比 9.0最大马力( hp/rpm) 800/6400最大扭力( kgm/rpm) 94.8/3200~5200曾经有 50 场连赢不败纪录, 5 次连胜 JTCC 总冠军。 1990SKYLINE 风光的一年,不但 R32 GT-R 囊括全日本 A 组及 N 组房车赛冠军,在JTCC 上更达到了出场 29 次冠军 29 次的景况,参加比利时利曼 24 小时耐久赛中的 Group-N 组包揽了 2 、 3 名的佳绩。"
891999,福特售后夏日优惠月开始啦!,"活动期间福特车主到店可享受如下优惠礼遇:2. 发动机线路系统养护限时 5.5 折优惠,夏季给您用车多一些保障,拒绝线路隐患,拒绝自燃!4. 购买 2 或者 3 两项套餐服务的,均可参与店内抽奖,奖品丰厚,不容错过!更多精彩活动,欢迎致电垂询!预约服务热线: 010-88469009北方福瑞,北京,您身边的福特专家!因为专注,所以专业!截止 2011 年底,拥有北京最大的福特用户群体和保险用户群体,与多家大型保险公司合作,定损理赔一站式服务!北京北方福瑞汽车销售服务有限公司"
1049278,重大事件备忘录,"公告日期 备忘事项 事件类型 详细2012-07-16 ,2012-07-17 不设涨跌幅限制的证券,新股上市2012-07-12 首次公开发行股票网上定价发行摇号中签结果 深交所公告,发行(上市)情况2012-07-11 首次公开发行A股网下摇号中签及配售结果 深交所公告,发行(上市)情况2012-07-11 首次公开发行A股网上定价发行中签率为1.3696385625% 深交所公告,发行(上市)情况2012-07-06 首次公开发行7,750万股A股发行公告 深交所公告,发行(上市)情况2012-07-05 7月6日举行首次公开发行A股网上路演 深交所公告,发行(上市)情况2012-06-29 首次公开发行股票招股意向书 深交所公告,发行(上市)情况2012-06-29 网下询价配售、网上定价发行,初步询价及推介公告日:2012-06-29,网下配售申购日:2012-07-09,新股网上申购日:2012-07-09 新股招股公告日,发行(上市)情况2012-07-06 新股网上路演日:2012-07-06 新股网上路演推介日,发行(上市)情况2012-07-17 2012-07-17,上市市场:深圳证券交易所,发行价格:8.00元/股,本次发行数量:77.5000 百万股,本次上市数量:77.5000 百万股,申购代码:002689,申购简称:博林特 新股上市,发行(上市)情况2012-07-09 新股网上申购日:2012-07-09,申购代码:002689,申购简称:博林特 新股网上申购日,发行(上市)情况"
920173,伦敦地铁显陈旧闷,"虽然在住所附近的罗素公园就有奥组委安排的媒体班车,但记者们还是决定乘坐古老的伦敦地铁前往位于伦敦东区的“伦敦碗”。一是因为,伦敦地铁世界闻名,大家都想亲身感受一下它的便利,奥运会期间记者们主要依赖的交通工具可不是汽车,而是地铁。其次,本报记者居住的伦敦大学校区处在伦敦最繁华的西区,这里走上一两公里就会有地铁站,交通网四通八达。从离记者住所最近的KINGˊSCROSS站,只要乘坐7站,就能抵达伦敦碗所在的奥林匹克公园。带着地图,边走边问,记者们顺利地坐上了通往伦敦碗的地铁。令记者有些失望的是,地铁的设备显得太陈旧了,这几天伦敦很热,气温都在30度以上,但车厢里却没有空调,非常闷热。经过半小时左右,记者终于抵达了“伦敦碗”所在的STRATFORD站。走出地铁站,先映入眼帘的是一座时尚的shop?pingmall,这是欧洲最大的购物中心成为伦敦人乃至外国游客在伦敦的热门去处,而奥林匹克公园就紧邻购物中心。"
987316,郁闷的一件事,"前几日,老太太出门,带了一个手提袋,还是那种布袋,广告促销的袋子,里面装了一个一百多块钱的手机,还是存话费送的机子,再就是几张衬屁股的报纸,然后就是家门钥匙,结果被小偷给偷了,其他倒不觉得可惜,就是家门钥匙上有我从部队复员的时候弄的一条手枪的枪带,绿色的尼龙的那种,很可惜啊。陪了我二十多年了。郁闷极了。"
988731,《变形金刚》会出第四部,"佛山日报讯 在拍摄完2000万美元的新作《付出与收获》之后,“破坏王”迈克尔·贝已开始将精力转投到他的下一个大计划:《变形金刚4》,也是他自称“执导的最后一部变形金刚电影”。目前,在一次访谈中,迈克尔·贝亲口爆料说:《变4》并不是以“重启”的方式讲述新故事,而是换个方向打造前三集的“续集”。"
